asset,gap,pred_next_vwap,true_next_vwap
ZEN,15m,22.293971539735793,
XRP,15m,92.88858444213867,
LTC,15m,2777.8017139172553,
ICP,30m,15.712588766813278,
DASH,30m,54.060165927410125,
XRP,30m,79.4443991136551,
ZEN,30m,12.15156443119049,
LTC,30m,146.25307628393173,
ICP,1h,24.929007472991945,
DASH,1h,45.74311185836792,
XRP,1h,45.938339269161226,
ZEN,1h,39.00014782190323,
LTC,1h,173.04830089330673,
GIGGLE,3m,92.67795698285103,
GIGGLE,15m,95.69655272006989,
GIGGLE,1m,87.0072648191452,
ASTER,5m,130.7992661654949,
VIRTUAL,5m,49.31584953546524,
GIGGLE,5m,77.90326394319534,
ASTER,3m,26.296501417160034,
VIRTUAL,3m,44.63296297550201,
ASTER,1m,187.1326914894581,
VIRTUAL,15m,5.712983238697052,
ASTER,30m,923.2359599673748,
GIGGLE,30m,81.36436707019806,
VIRTUAL,30m,13.187872285842895,
SUI,1m,68.71422156095505,
SUI,15m,1007.1025149917602,
SUI,5m,62.350083516836165,
SUI,3m,10.666821575164795,
AAVE,3m,125.50799016952514,
AAVE,5m,164.1142519712448,
AAVE,1m,133.13480825901033,
ICP,12h,18.519427137374876,
DASH,12h,50.606708542108535,
LPT,12h,8.2045064163208,
FIL,12h,83.49263244628906,
OG,12h,15.308889474868774,
VIRTUAL,12h,126.75815877079964,
ZEC,12h,343.5975771689415,
AAVE,12h,215.89838500022887,
TAO,12h,176.63739222168923,
AUCTION,12h,6.168883574008942,
TON,12h,1046.457006906271,
MORPHO,12h,41.52252669334412,
LTC,12h,317.8316527700424,
AR,12h,1814.475646636486,
ETC,12h,934.7823975086212,
NEO,12h,12.60837788581848,
ZRO,12h,18.923887828588487,
EUL,12h,37.412983646392824,
VANA,12h,6.699271453619003,
TWT,12h,18.4597429728508,
BERA,12h,1024.3258248007298,
ENSO,12h,1105.2939159417153,
CAKE,12h,6369.346350991726,
ORDI,12h,10889.968647463322,
LINK,12h,3750.746988258362,
XRP,12h,679.4535190534592,
UNI,12h,32.33986756205559,
INJ,12h,20.27735764980316,
DOT,12h,10.53469231724739,
SUI,12h,30.046761853694917,
NEAR,12h,39.8241883456707,
TRUMP,12h,27.127387409210204,
AVAX,12h,3688.8925621032713,
PENDLE,12h,6.406348021030426,
GIGGLE,12h,133.59829793691634,
APT,12h,36.27864588141441,
SOL,12h,176.78491067647934,
TRB,12h,15.41950112938881,
RENDER,12h,3648.2239657616615,
ATOM,12h,6.622585722208023,
BCH,12h,6732.157392177582,
ASR,12h,6.5547187757492065,
ZEN,12h,27.704062328338622,
ICP,8h,16.805629128217696,
DASH,8h,28.37538802266121,
LPT,8h,4.902360156774521,
FIL,8h,1004.6058611154556,
OG,8h,907.0628990495205,
VIRTUAL,8h,69.11936521887779,
AAVE,8h,218.20207544326783,
AR,8h,12.556110867261886,
ZEC,8h,403.50941464662554,
AUCTION,8h,6.292965941429138,
TAO,8h,225.38115283489228,
MORPHO,8h,23.902862412929537,
TON,8h,5553.280927454233,
LTC,8h,153.47003653526306,
NEO,8h,21.62959177494049,
ZRO,8h,2.399537625312805,
ETC,8h,947.2118048393727,
TWT,8h,17.228530982732774,
VANA,8h,2.974827080965042,
EUL,8h,36.53499696969986,
BERA,8h,2.130608608722687,
CAKE,8h,5446.886870214939,
ENSO,8h,1107.303726900816,
ORDI,8h,11806.852041666507,
LINK,8h,1207.11205370903,
XRP,8h,920.3433652973175,
DOT,8h,9.669301319122315,
SUI,8h,19.932622208595276,
INJ,8h,1806.4999884843826,
UNI,8h,52.79041395783425,
TRUMP,8h,36.80714277505874,
PENDLE,8h,11.664592752456665,
NEAR,8h,49.48748733520508,
APT,8h,24.855985152721406,
AVAX,8h,110.95774517178535,
GIGGLE,8h,225.89240851044656,
RENDER,8h,18.046017155647277,
SOL,8h,129.03995983839036,
TRB,8h,20.96508009672165,
ATOM,8h,20.96925283074379,
ASR,8h,7.187234679460525,
BCH,8h,4995.894953651428,
ZEN,8h,985.1365084135532,
ICP,6h,17.15976252555847,
DASH,6h,43.724551233053205,
LPT,6h,10.190516315698623,
FIL,6h,72.31272327542305,
OG,6h,13.802298418283463,
ZEN,6h,4562.113606604337,
AAVE,6h,242.60473538160323,
VIRTUAL,6h,104.07756062030792,
ZEC,6h,324.7582934355736,
TAO,6h,238.16029186844827,
AR,6h,909.4126419639588,
MORPHO,6h,48.433491550683975,
TON,6h,1029.7715363287925,
LTC,6h,133.56712255597114,
AUCTION,6h,6.585406464338303,
NEO,6h,8.023941200971603,
ETC,6h,934.7400441694259,
ZRO,6h,16.58935559630394,
VANA,6h,5.317698504924774,
EUL,6h,36.784255872964856,
TWT,6h,15.320308924913407,
BERA,6h,4.637773932218551,
CAKE,6h,9076.426633610725,
ENSO,6h,1106.8296244692801,
ORDI,6h,13631.244340356589,
LINK,6h,3752.7264894211294,
XRP,6h,575.6314963054657,
UNI,6h,44.18461758971214,
INJ,6h,28.356322976350786,
TRUMP,6h,21.089820878505705,
DOT,6h,8.033310742378236,
NEAR,6h,48.35360896229744,
SUI,6h,27.719025889635088,
AVAX,6h,3688.8729399204253,
PENDLE,6h,8.778953319787979,
TRB,6h,14591.803879272939,
APT,6h,12.268126006126403,
GIGGLE,6h,121.95667079567909,
SOL,6h,170.25162575006485,
RENDER,6h,3648.264581606388,
ATOM,6h,17.66546459197998,
BCH,6h,7642.030112419128,
ASR,6h,6.4383929300308225,
ICP,4h,49.936179426908495,
DASH,4h,179.49680420279503,
LPT,4h,9.523548671007156,
FIL,4h,288.246759929657,
OG,4h,13.962359948158264,
VIRTUAL,4h,38.57723538398743,
TAO,4h,304.64612419605254,
AR,4h,3650.056249289513,
LTC,4h,347.96619418621066,
MORPHO,4h,18.175361651182175,
ZEC,4h,299.9769788575172,
AAVE,4h,275.68524166107176,
TON,4h,4704.265703258515,
AUCTION,4h,6.4755630266666415,
NEO,4h,9.794679626226426,
ETC,4h,2802.118940118551,
ZRO,4h,924.6518713879585,
VANA,4h,6.568791228532791,
TWT,4h,13.852986816167832,
EUL,4h,20.156962704658508,
BERA,4h,14.852099100351333,
ENSO,4h,9.587533383369445,
CAKE,4h,39977.63082917184,
ORDI,4h,12730.732453728617,
LINK,4h,2914.116773518324,
XRP,4h,1180.1661303925514,
TRUMP,4h,89.59093105316163,
DOT,4h,53.20073945879936,
INJ,4h,21.220649973154067,
UNI,4h,62.25683706998825,
SUI,4h,441.92826218247416,
AVAX,4h,164.65185562968253,
PENDLE,4h,16.463656408786775,
NEAR,4h,191.97621730804443,
GIGGLE,4h,323.0052613091469,
SOL,4h,426.6292610454559,
TRB,4h,10009.267641056776,
APT,4h,106.15999747872353,
RENDER,4h,1861.9047482144833,
ZEN,4h,131.9990690302849,
BCH,4h,466.4818611764908,
ATOM,4h,32.9480365562439,
ASR,4h,6.084892849922181,
ICP,2h,36.77466062307358,
DASH,2h,186.6268884241581,
LPT,2h,10.849471482038497,
FIL,2h,145.08955268859864,
OG,2h,14.347702943086624,
VIRTUAL,2h,124.2363019490242,
TAO,2h,353.1831828081608,
ZEC,2h,285.5522562670708,
AR,2h,15.424830908775329,
MORPHO,2h,21.654686197042466,
LTC,2h,454.27686721801757,
AAVE,2h,343.7006478738785,
TON,2h,1085.4714258515835,
AUCTION,2h,6.237073103189468,
NEO,2h,21.28139352917671,
ETC,2h,45.51141777038574,
ZRO,2h,935.7358285009861,
TWT,2h,31.585937947034836,
VANA,2h,5.551731028556824,
EUL,2h,37.73991627335548,
BERA,2h,11.332774240970611,
CAKE,2h,29069.24929305434,
ENSO,2h,24.17952082514763,
ORDI,2h,6382.233995368183,
LINK,2h,3731.441340456009,
TRUMP,2h,75.51726047992706,
XRP,2h,1290.301606528759,
INJ,2h,941.3970091629028,
UNI,2h,38.44880035400391,
DOT,2h,46.30984313488007,
ZEN,2h,137.0598460996151,
SUI,2h,146.91862320899963,
NEAR,2h,275.2255654191971,
AVAX,2h,162.43282213687897,
PENDLE,2h,8.017348526716232,
TRB,2h,13.66305160164833,
GIGGLE,2h,363.2617906665802,
APT,2h,80.98931902527809,
SOL,2h,792.8688302707673,
RENDER,2h,1861.831599214077,
ATOM,2h,22.18648245215416,
BCH,2h,427.64151901721954,
ASR,2h,8.20490325808525,
AAVE,1h,137.46444771528243,
GIGGLE,1h,70.4934645318985,
VIRTUAL,1h,50.21693190097809,
SUI,1h,979.9986132931709,
AAVE,30m,176.93444213867187,
SUI,30m,831.4056262552738,
AAVE,15m,123.65316247105598,
ASTER,15m,29.752230311632157,
ASTER,2h,136.0097814142704,
NMR,2h,10.570443687438965,
ASTER,1h,995.3484443044663,
TRUMP,5m,104.24077001094818,
TRUMP,1m,81.79205463409424,
TRUMP,3m,104.51824627399445,
LINK,3m,13.614176044464111,
LINK,1m,20.62313441514969,
LINK,5m,18.11246129274368,
LINK,15m,13.418901028633117,
AVAX,15m,33.40229300498962,
TRUMP,15m,7.680792391300201,
AVAX,1m,55.529354693889616,
AVAX,3m,18.5715280854702,
AVAX,5m,22.113267954587936,
UNI,1m,65.8279091513157,
TRUMP,1h,95.0294834303856,
LINK,1h,16.796490094661713,
AVAX,1h,35.256416636705396,
TRUMP,30m,100.08379576325416,
LINK,30m,13.613840141296386,
AVAX,30m,26.645847506523133,
UNI,30m,17.3078547501564,
UNI,5m,64.63231280088425,
UNI,3m,67.2999341917038,
UNI,15m,8.861313979625702,
0G,1m,11.788862125873566,
0G,5m,3.8290048170089723,
0G,3m,6.901956503391266,
0G,1h,5.134012767076492,
UNI,1h,73.13022323012352,
0G,30m,20.19590585708618,
0G,15m,2.576579338312149,
0G,6h,2.369087975025177,
KSM,6h,12.003794839382172,
NMR,6h,942.7648023724556,
NEAR,5m,14.076734319925308,
BCH,5m,472.62040405154227,
NEAR,1m,3.448284946680069,
BCH,1m,430.0089732718468,
NEAR,3m,5.39310313820839,
BCH,3m,458.9032871878147,
NEAR,15m,6.938257248401642,
DOT,15m,25.981500457525254,
DOT,1m,19.712558612823486,
DOT,3m,14.497949678897857,
DOT,5m,5.432410658597946,
CAKE,1m,7.68567568898201,
CAKE,5m,4.947896265983582,
CAKE,3m,4.369281756877899,
0G,8h,3.632121350765228,
NMR,8h,9.708326095342636,
0G,2h,5.03107274889946,
ENS,2h,16.559779859781266,
RAY,2h,5.754818904399872,
KSM,2h,12.812738127708435,
CAKE,1h,9.394089158773422,
NEAR,1h,13.21143635392189,
DOT,1h,152.19015260577203,
NEAR,30m,17.39861969590187,
DOT,30m,3.5551234436035157,
BCH,30m,749.8136552345753,
DCR,2h,18.059390716552734,
DCR,12h,20.768758475780487,
0G,12h,3.7434967613220214,
NMR,12h,954.9093091225624,
ENS,12h,60.099539997577665,
RAY,12h,5.667791525125503,
ENS,6h,1767.7548337078094,
RAY,6h,3.3862915802001954,
0G,4h,2.2316454434394837,
NMR,4h,9.26102023243904,
ENS,4h,23.776826910972595,
RAY,4h,4.482309750318527,
DCR,1m,31.120723450183867,
DCR,3m,34.31488904237747,
DCR,5m,28.864565440416335,
DCR,15m,22.90405777692795,
MOVR,2h,5.740862109661102,
DCR,8h,18.627632266283037,
MOVR,8h,6.575896439552307,
ENS,8h,998.2908719277382,
RAY,8h,6.394424920082092,
DCR,4h,18.831955296993257,
MOVR,4h,4.847406485080719,
MMT,1m,120.56709422826766,
MMT,5m,7.018736453056335,
MMT,3m,10.562473704814911,
MMT,15m,1021.3257149457932,
DCR,6h,15.978028526306153,
BNSOL,6h,66.66284534335136,
MOVR,6h,7.842930173873901,
MMT,2h,64.94170255303383,
BNSOL,2h,154.6782179427147,
AXS,4h,25.289806882143022,
MMT,4h,128.8118321943283,
BNSOL,4h,148.4527297282219,
AXS,2h,11.514941618442535,
QNT,12h,50.927508245706555,
AXS,12h,2.6709686422348025,
MOVR,12h,3.885583697557449,
QNT,8h,55.34343271136284,
ALCX,6h,10.453372585773469,
QNT,6h,49.25491135954857,
MLN,6h,6.012654863595962,
AXS,6h,7.765868282318115,
ALCX,4h,10.159308189153672,
QNT,4h,68.8309709405899,
ALCX,2h,10.133299688100815,
QNT,2h,73.42159068107605,
MLN,2h,7.78029495716095,
ALCX,1m,14.71335988163948,
ALCX,5m,19.588776416778565,
ALCX,3m,19.859790040254595,
ALCX,15m,19.17586386680603,
ALCX,30m,16.15002890586853,
ALCX,1h,34.21495576143264,
MLN,4h,7.028417233228684,
FARM,6h,7.94377687215805,
FARM,2h,11.032105491161346,
METIS,8h,10.499745073318481,
MLN,8h,6.041391345262528,
FARM,8h,21.393487830162048,
ALCX,8h,10.504561282396317,
FIL,15m,3.2330654919147492,
FIL,3m,5.331203614473343,
METIS,4h,10.746546446084976,
FARM,4h,19.238115906715393,
FIL,5m,4.781676380634308,
FIL,30m,5.452607262134552,
AR,1m,7.905466885566711,
AR,5m,7.850016746520996,
AR,3m,7.9398756074905394,
FIL,1h,35.080869553089144,
AR,1h,8.112928498983383,
AR,15m,7.749178175926208,
AR,30m,11.646071329116822,
METIS,2h,7.707380366325379,
ETC,15m,16.075969928503035,
ETC,3m,13.567344559431076,
ETC,1m,13.118328177928925,
ETC,5m,14.323841989040375,
APT,1h,25.655305949449538,
ETC,1h,946.2439073050023,
METIS,12h,7.212022119760514,
MLN,12h,6.380596013069153,
FARM,12h,7.491976414918899,
ALCX,12h,8.464953044652939,
METIS,6h,6.342681951522827,
APT,1m,48.83083107471466,
APT,3m,33.8542317044735,
ETC,30m,16.211434770822525,
PAXG,1m,2807.728555934429,
PAXG,5m,2953.3067560243608,
PAXG,3m,2977.6490155541896,
PAXG,30m,2534.8363888597487,
PAXG,15m,3991.190299073458,
PAXG,1h,1999.8478767561912,
RENDER,1m,91.15315686225891,
RENDER,3m,62.78710376381874,
RENDER,5m,43.60561110854149,
APT,5m,35.049521508216856,
AXS,8h,2.10240443944931,
SSV,4h,4.7351304161548615,
SSV,2h,6.8094545531272885,
RENDER,30m,61.894644371271134,
APT,30m,75.02418404340744,
RENDER,1h,22.13719712018967,
RENDER,15m,7.611487574577332,
ORDI,3m,11.766266723871231,
ORDI,1m,8.312400048971176,
ORDI,30m,8.24642391204834,
ORDI,1h,7.170505547523499,
SSV,6h,4.7512726151943205,
ORDI,5m,8.116821044683457,
ORDI,15m,6.691036225557327,
INJ,3m,7.998020492792129,
INJ,1m,9.486554520130158,
INJ,5m,8.188257129192353,
INJ,30m,7.934685703516006,
INJ,1h,9.52010308265686,
KSM,4h,11.745908262729644,
EGLD,2h,8.027278501987457,
KSM,1m,13.99253272652626,
KSM,5m,12.884625265598297,
KSM,3m,11.81924702167511,
PYR,3m,1.2070936024188996,
PYR,1m,29.61127358675003,
PYR,5m,29.920980076789856,
PYR,1h,31.023551886081695,
ILV,1h,21.060063490867616,
KSM,1h,14.990465395450592,
ILV,1m,20.361897777318955,
KSM,12h,11.968659297227859,
EGLD,12h,915.4539886987209,
ILV,12h,10.793591227531433,
SSV,12h,5.149270460605622,
ILV,5m,20.800484317541123,
ILV,3m,20.970003131628037,
EGLD,8h,915.4045257723332,
KSM,8h,11.69672136068344,
SSV,8h,4.742693088054657,
ILV,8h,12.313888630867005,
ILV,15m,21.958172414302826,
EGLD,6h,8.129424147605896,
ILV,6h,8.121478353738786,
EGLD,4h,8.05874982357025,
ILV,4h,11.556409645080567,
ILV,2h,8.143584020137787,
PYR,4h,48.40148676395416,
PYR,2h,40.724535608291625,
DCR,30m,1115.4936838793756,
DCR,1h,6.692361330986023,
XNO,2h,12.190396728515625,
XNO,6h,49.87807046175003,
CAKE,30m,3.1316171872615812,
CAKE,15m,5.887327609062194,
XNO,12h,5.983248463869095,
XNO,8h,10.791852128505706,
XNO,4h,10.778784880638122,
SANTOS,4h,2.6617280828952787,
SANTOS,8h,2.3352263283729555,
SANTOS,2h,13586.26535578847,
SANTOS,6h,2.546655066013336,
TRB,3m,33.44512228012085,
TRB,5m,18.275767222642898,
TRB,1m,66.46451867938042,
TRB,15m,25.060415093898772,
TRB,1h,54.44068849802017,
TRB,30m,26.627484208345415,
SANTOS,12h,2.2626193726062773,
ASTER,8h,11.754085019826888,
ASTER,4h,230.15995987653733,
ASTER,6h,1.6541257739067077,
ASTER,12h,100.26255649209023,
NMR,3m,11.156202855110168,
NMR,1m,12.736908259391784,
NMR,5m,11.416476309299469,
NMR,15m,10.709036375284194,
NMR,1h,33.48809310555458,
NMR,30m,19.456360169649123,
COMP,2h,32.87394197225571,
COMP,4h,31.422288821935652,
ORCA,1m,9.553150026798248,
ORCA,5m,8.55821714758873,
ORCA,3m,8.13827481031418,
ORCA,15m,4.135941709280014,
ORCA,6h,8.871660367250442,
COMP,6h,28.877191286087037,
ORCA,2h,9.69846724152565,
COMP,8h,32.45664736390114,
ORCA,8h,14.959150005578994,
ORCA,4h,3.2835441708564757,
BANANA,2h,9.892234581708909,
BANANA,12h,8.989597827196121,
COMP,12h,28.90783288002014,
ORCA,12h,1.670627499818802,
BANANA,6h,9.722431086301803,
BANANA,4h,9.748388742208482,
BANANA,8h,9.703804105520248,
